Country,Species_Name,CrabLobShrimp,FAOFishingArea,Unit (Name),Unit,[1950],[1951],[1952],[1953],[1954],[1955],[1956],[1957],[1958],[1959],[1960],[1961],[1962],[1963],[1964],[1965],[1966],[1967],[1968],[1969],[1970],[1971],[1972],[1973],[1974],[1975],[1976],[1977],[1978],[1979],[1980],[1981],[1982],[1983],[1984],[1985],[1986],[1987],[1988],[1989],[1990],[1991],[1992],[1993],[1994],[1995],[1996],[1997],[1998],[1999],[2000],[2001],[2002],[2003],[2004],[2005],[2006],[2007],[2008],[2009],[2010],[2011],[2012],[2013],[2014],[2015],[2016],[2017],[2018],[2019],[2020],[2021],ThreeYearTotal,TwentyYearTotal
Albania,Norway lobster,1,Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,5,2,2,2,4,0,1,0,0,0,435,398,400,405,411,389,257,213,194,211,618,3329
Albania,Common spiny lobster,1,Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,2,1,4,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,18
Albania,Mediterranean shore crab,1,Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Albania,European lobster,1,Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Algeria,Marine crustaceans nei,NEI,Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,20,86,2,4,7,14,47,60,70,80,81,82,90,0,0,0,348,250,150,150,150,250,73,67,71,154,83,308,222,297,49,0,0,0,4,10,44,108,83,222,79,58,205,140,146.82,207,295.59,5.24,277.8,578.63,2231.45
Algeria,Norway lobster,1,Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",200,100,100,100,100,100,100,0,100,100,200,200,200,0,100,0,0,0,0,0,0,19,25,40,24,32,101,53,33,64,80,90,110,111,112,120,200,196,238,113,110,100,120,130,150,129,100,89,138,96,92,45,56,119,69,60,25,14,53,84,99,151,74,31,32,54,38.39,35.19,41,38.69,53.59,19.5,111.78,1147.36
Algeria,Palinurid spiny lobsters nei,1,Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",0,0,0,0,0,0,0,0,0,100,200,200,100,0,100,0,0,0,0,0,0,7,6,4,40,18,28,18,25,52,60,70,80,81,82,90,50,50,42,14,15,10,20,25,30,22,9,44,141,70,33,34,46,74,123,46,31,51,131,93,34,20,17,6,8,17,25.48,17.07,14,11.36,12.34,0,23.7,777.25
Algeria,European lobster,1,Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,Tropical spiny lobsters nei,1,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,3,3,2,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,2,1,1,1,0,0,0,2,2,1,1,1,1.89,0.97,0.28,1.48,0.59,0.45,1,0.35,0.34,0.57,0.15,0.25,0.97,15.32
American Samoa,Marine crabs nei,1,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.01,0,0,0,0,0,0,0,0,0,0,0,0.04
American Samoa,Slipper lobsters nei,1,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0.02
Angola,Marine crabs nei,1,"Atlantic, Southeast",Tonnes - live weight,"TLW, Number",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,602,800,836,1400,1111,1596,900,296,172,103,117,500,800,1100,1400,1779,2005,202,1629,1633,1635,1129,1461,4225,20968
Angola,Lobsters nei,1,"Atlantic, Southeast",Tonnes - live weight,"TLW, Number",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1062,1000,655,783,500,483,487,290,862,860,857,854,851,848,274,149,207,271,54,24,59,137,10368
Angola,Marine crustaceans nei,NEI,"Atlantic, Southeast",Tonnes - live weight,"TLW, Number",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,89
Angola,Tropical spiny lobsters nei,1,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anguilla,Caribbean spiny lobster,1,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50,70,70,70,90,90,90,100,100,100,145,136,127,118,109,49,97,90,90,100,110,120,130,140,150,160,170,180,190,200,210,220,232,131,115,128,144,140,134,207,290,205,205,205,20,20,245,3346
Anguilla,Tropical spiny lobsters nei,1,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,18,23,28,20,20,20,290,200,510,629
Antigua and Barbuda,Caribbean spiny lobster,1,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,90,127,136,175,120,101,64,51,44,50,140,117,120,150,120,100,97,165,188,120,140,149,125,160,357,274,275,272,276,243,245,309,318,318,165,103,175,229,156,106,170,277,277,277,277,277,275,280,832,4753
Antigua and Barbuda,Batwing coral crab,1,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,9
